n,F(n),iterative_ns,recursive_ns
37,24157817,2981.0,9511.0
20,6765,1895.0,5021.0
6,8,726.0,1472.0
16,987,1402.0,4119.0
8,21,871.0,1982.0
36,14930352,3000.0,9324.0
27,196418,2419.0,7906.0
39,63245986,3428.0,10173.0
39,63245986,3147.0,11905.0
40,102334155,5613.0,17716.0
15,610,1670.0,6400.0
34,5702887,3531.0,8986.0
25,75025,2106.0,6519.0
29,514229,2402.0,7463.0
29,514229,2391.0,7521.0
20,6765,1703.0,5020.0
38,39088169,3183.0,9864.0
28,317811,2350.0,7245.0
20,6765,1709.0,5080.0
37,24157817,3133.0,9489.0
40,102334155,3211.0,11433.0
4,3,613.0,1310.0
40,102334155,3377.0,10290.0
7,13,792.0,1725.0
14,377,1259.0,5576.0
41,165580141,4849.0,18049.0
14,377,1329.0,4170.0
17,1597,1971.0,5215.0
43,433494437,3602.0,11139.0
6,8,731.0,1624.0
11,89,1040.0,2681.0
16,987,1409.0,3984.0
12,144,1268.0,2988.0
36,14930352,2923.0,9332.0
5,5,667.0,1229.0
11,89,1046.0,2853.0
1,1,433.0,253.0
27,196418,2233.0,6940.0
29,514229,2391.0,7465.0
45,1134903170,3647.0,11521.0
39,63245986,3683.0,10699.0
31,1346269,3181.0,8041.0
19,4181,1646.0,4762.0
3,2,658.0,721.0
15,610,1335.0,3703.0
19,4181,1633.0,5052.0
19,4181,1710.0,5345.0
45,1134903170,4572.0,14561.0
30,832040,2933.0,8734.0
5,5,703.0,1440.0
44,701408733,3957.0,11698.0
15,610,1502.0,3756.0
17,1597,1478.0,4396.0
41,165580141,3274.0,10558.0
38,39088169,3084.0,9734.0
43,433494437,3556.0,11042.0
13,233,1171.0,3845.0
28,317811,2361.0,7460.0
8,21,893.0,2250.0
35,9227465,3409.0,9386.0
15,610,1832.0,3793.0
42,267914296,3589.0,10996.0
10,55,983.0,2526.0
18,2584,1965.0,4889.0
