n,F(n),iterative_ns,recursive_ns
13,233,2647.0,5913.0
20,6765,2941.0,9089.0
26,121393,3716.0,11479.0
43,433494437,6087.0,19016.0
42,267914296,5932.0,20669.0
24,46368,3470.0,10646.0
29,514229,4074.0,13004.0
34,5702887,5209.0,15712.0
29,514229,4347.0,14195.0
8,21,1497.0,3528.0
16,987,3975.0,7993.0
15,610,2301.0,6820.0
5,5,1391.0,2527.0
22,17711,3192.0,10020.0
2,1,778.0,1098.0
38,39088169,5287.0,17154.0
36,14930352,5036.0,17607.0
15,610,2459.0,8824.0
38,39088169,9174.0,18842.0
15,610,2315.0,6758.0
1,1,654.0,431.0
5,5,1119.0,2141.0
41,165580141,5961.0,20538.0
4,3,1062.0,1795.0
15,610,2581.0,6592.0
5,5,1133.0,2423.0
3,2,893.0,1257.0
22,17711,3186.0,9753.0
5,5,1122.0,2337.0
33,3524578,4595.0,14492.0
16,987,2391.0,6361.0
18,2584,3927.0,6744.0
43,433494437,5085.0,16063.0
32,2178309,3739.0,12533.0
14,377,2084.0,4865.0
35,9227465,4250.0,12274.0
9,34,1124.0,2699.0
37,24157817,3951.0,13159.0
37,24157817,4318.0,12038.0
31,1346269,3175.0,9855.0
16,987,1705.0,4982.0
31,1346269,3074.0,9267.0
27,196418,2362.0,7346.0
13,233,1246.0,3362.0
7,13,988.0,1823.0
7,13,831.0,1870.0
43,433494437,3627.0,11812.0
28,317811,2449.0,7692.0
23,28657,2060.0,6144.0
28,317811,2608.0,7544.0
27,196418,2566.0,6802.0
30,832040,3038.0,7651.0
4,3,761.0,975.0
44,701408733,3483.0,12213.0
42,267914296,3725.0,12729.0
42,267914296,3520.0,11277.0
7,13,1014.0,1749.0
4,3,631.0,1011.0
26,121393,2208.0,6742.0
22,17711,1864.0,5668.0
7,13,787.0,1712.0
16,987,1402.0,4013.0
13,233,1172.0,3296.0
13,233,1172.0,3160.0
35,9227465,2961.0,8898.0
29,514229,2526.0,7321.0
9,34,1065.0,2215.0
28,317811,2300.0,7235.0
12,144,1103.0,2919.0
18,2584,1712.0,4644.0
30,832040,2520.0,7699.0
16,987,1397.0,3968.0
5,5,659.0,1364.0
29,514229,3030.0,7373.0
36,14930352,3032.0,9228.0
7,13,790.0,2205.0
4,3,607.0,992.0
42,267914296,3532.0,14393.0
35,9227465,2996.0,10443.0
1,1,410.0,543.0
6,8,730.0,1485.0
16,987,1829.0,4066.0
11,89,1064.0,2901.0
27,196418,2278.0,6982.0
32,2178309,2626.0,8279.0
31,1346269,2535.0,7971.0
14,377,1250.0,3470.0
26,121393,2288.0,6546.0
4,3,606.0,974.0
11,89,1041.0,2817.0
25,75025,2160.0,6416.0
1,1,381.0,252.0
25,75025,2088.0,6431.0
17,1597,1487.0,4316.0
30,832040,2515.0,7827.0
19,4181,1670.0,5045.0
28,317811,2351.0,8056.0
45,1134903170,3674.0,14164.0
36,14930352,3303.0,11124.0
43,433494437,6919.0,16299.0
32,2178309,3199.0,9010.0
10,55,1417.0,2439.0
13,233,1192.0,3173.0
19,4181,1853.0,4838.0
14,377,1249.0,3739.0
4,3,656.0,1065.0
38,39088169,3350.0,10736.0
35,9227465,3083.0,9859.0
4,3,792.0,1069.0
21,10946,1947.0,5850.0
4,3,662.0,1219.0
4,3,649.0,1068.0
38,39088169,3336.0,10730.0
31,1346269,2783.0,8731.0
33,3524578,3099.0,9347.0
34,5702887,6073.0,10183.0
11,89,1400.0,3975.0
4,3,744.0,1552.0
33,3524578,4567.0,10210.0
6,8,885.0,1845.0
12,144,1791.0,4593.0
5,5,1051.0,2019.0
39,63245986,3652.0,10761.0
5,5,700.0,1241.0
44,701408733,3698.0,11325.0
16,987,1406.0,3964.0
26,121393,2308.0,6552.0
8,21,859.0,2154.0
37,24157817,2984.0,9484.0
16,987,1401.0,3966.0
38,39088169,3229.0,9737.0
39,63245986,3113.0,10070.0
3,2,523.0,723.0
40,102334155,3191.0,12175.0
6,8,817.0,1478.0
27,196418,2229.0,7004.0
43,433494437,3424.0,11098.0
38,39088169,3203.0,15477.0
37,24157817,5123.0,10595.0
34,5702887,2787.0,8887.0
21,10946,1829.0,5590.0
17,1597,1526.0,4308.0
14,377,1259.0,3613.0
43,433494437,3435.0,11086.0
21,10946,1782.0,5417.0
16,987,1406.0,4006.0
17,1597,1622.0,4227.0
26,121393,2163.0,6675.0
9,34,922.0,2259.0
43,433494437,3537.0,10984.0
42,267914296,3318.0,11368.0
20,6765,1708.0,5191.0
30,832040,2461.0,7795.0
21,10946,1781.0,5800.0
5,5,662.0,1230.0
1,1,392.0,254.0
30,832040,2454.0,8152.0
40,102334155,3421.0,13470.0
37,24157817,3048.0,10272.0
7,13,804.0,1782.0
5,5,664.0,1230.0
35,9227465,2980.0,8985.0
14,377,1252.0,3423.0
33,3524578,2719.0,8476.0
17,1597,1479.0,4374.0
9,34,923.0,2206.0
23,28657,1973.0,5926.0
5,5,659.0,1223.0
16,987,1396.0,4101.0
24,46368,2030.0,6107.0
19,4181,1770.0,4771.0
11,89,1042.0,2831.0
29,514229,2394.0,8724.0
35,9227465,2844.0,9308.0
20,6765,1769.0,5435.0
40,102334155,3297.0,10517.0
42,267914296,3458.0,11054.0
34,5702887,3090.0,9736.0
1,1,599.0,253.0
43,433494437,3444.0,11245.0
36,14930352,3067.0,9244.0
20,6765,1699.0,5069.0
43,433494437,3527.0,10989.0
7,13,787.0,1706.0
9,34,916.0,2256.0
17,1597,1476.0,4380.0
8,21,855.0,1970.0
7,13,785.0,1711.0
36,14930352,3044.0,9272.0
10,55,977.0,2439.0
18,2584,1560.0,4627.0
19,4181,1631.0,5759.0
39,63245986,3153.0,10206.0
14,377,1295.0,3637.0
22,17711,1876.0,5565.0
14,377,1411.0,3450.0
44,701408733,3996.0,11470.0
41,165580141,3281.0,11293.0
17,1597,1573.0,5245.0
33,3524578,2762.0,8786.0
32,2178309,2655.0,8722.0
17,1597,1485.0,4596.0
4,3,777.0,972.0
6,8,719.0,1471.0
41,165580141,3316.0,10499.0
28,317811,2298.0,7243.0
18,2584,1564.0,4639.0
3,2,518.0,723.0
1,1,383.0,254.0
22,17711,1851.0,5672.0
9,34,921.0,2210.0
41,165580141,3325.0,11158.0
17,1597,1489.0,4316.0
11,89,1042.0,2826.0
29,514229,2392.0,7328.0
36,14930352,3033.0,9637.0
28,317811,2307.0,7287.0
36,14930352,2902.0,9356.0
1,1,372.0,245.0
8,21,829.0,1909.0
5,5,639.0,1199.0
45,1134903170,3661.0,12102.0
10,55,1017.0,2557.0
35,9227465,3741.0,10295.0
3,2,532.0,739.0
24,46368,2109.0,6253.0
38,39088169,3054.0,9796.0
36,14930352,2888.0,9255.0
10,55,978.0,2583.0
28,317811,2310.0,7179.0
9,34,919.0,2207.0
